,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i640-311_sft,1000000000.0,1000000000.0,0,3811.5739999999996,0.0,30945.940000000002,30989.6,30945.940000000002,44294.4,0
1,i640-312_sft,1000000000.0,1000000000.0,0,3631.704,0.0,30910.98,30921.8,30910.98,45762.0,0
2,i640-313_sft,1000000000.0,1000000000.0,0,3808.844,0.0,30817.46,30832.9,30817.46,47371.2,0
3,i640-314_sft,1000000000.0,1000000000.0,0,3832.13,0.0,30765.48,30782.2,30765.48,44044.8,0
4,i640-315_sft,1000000000.0,1000000000.0,0,3533.826,0.0,30598.0,30620.9,30598.0,41301.8,0
5,i640-331_sft,1000000000.0,1000000000.0,0,3345.8633333333332,0.0,40130.9,40130.9,40130.9,77960.0,0
