,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i640-311_sft,1000000000.0,1000000000.0,0,7004.22,0.0,31027.3,31027.3,31027.3,46900.0,0
1,i640-312_sft,1000000000.0,1000000000.0,0,7040.17,0.0,30852.5,30852.5,30852.5,43960.0,0
2,i640-313_sft,1000000000.0,1000000000.0,0,6832.53,0.0,30696.2,30696.2,30696.2,42993.0,0
3,i640-314_sft,1000000000.0,1000000000.0,0,6978.47,0.0,30727.2,30727.2,30727.2,43075.0,0
4,i640-315_sft,1000000000.0,1000000000.0,0,7068.98,0.0,30647.1,30647.1,30647.1,43025.0,0
5,i640-331_sft,1000000000.0,1000000000.0,0,7006.09,0.0,40362.9,40362.9,40362.9,90122.0,0
6,i640-332_sft,1000000000.0,1000000000.0,0,7002.42,0.0,40030.4,40030.4,40030.4,91133.0,0
7,i640-333_sft,1000000000.0,1000000000.0,0,7044.48,0.0,39807.7,39807.7,39807.7,99228.0,0
8,i640-334_sft,1000000000.0,1000000000.0,0,7056.91,0.0,39735.1,39735.1,39735.1,93771.0,0
9,i640-335_sft,1000000000.0,1000000000.0,0,6971.38,0.0,40625.4,40625.4,40625.4,98174.0,0
