,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
21,i640-231_sft,1000000000.0,1000000000.0,0,3594.75,0.0,13556.3,13556.3,13556.3,51989.0,0
22,i640-232_sft,1000000000.0,1000000000.0,0,3597.03,0.0,13655.4,13655.4,13655.4,59531.0,0
23,i640-233_sft,1000000000.0,1000000000.0,0,3585.34,0.0,13904.5,13904.5,13904.5,55645.0,0
24,i640-235_sft,1000000000.0,1000000000.0,0,3593.96,0.0,13536.3,13536.3,13536.3,50728.0,0
25,i640-311_sft,1000000000.0,1000000000.0,0,3541.58,0.0,31004.8,31004.8,31004.8,45927.0,0
26,i640-312_sft,1000000000.0,1000000000.0,0,3474.26,0.0,30912.0,30912.0,30912.0,45802.0,0
27,i640-313_sft,1000000000.0,1000000000.0,0,3593.99,0.0,30784.0,30784.0,30784.0,46270.0,0
28,i640-314_sft,1000000000.0,1000000000.0,0,3554.8,0.0,30747.1,30747.1,30747.1,43501.0,0
29,i640-315_sft,1000000000.0,1000000000.0,0,3574.6,0.0,30600.5,30600.5,30600.5,41335.0,0
30,i640-331_sft,1000000000.0,1000000000.0,0,3490.86,0.0,40065.8,40065.8,40065.8,75087.0,0
31,i640-332_sft,1000000000.0,1000000000.0,0,3526.14,0.0,39730.4,39730.4,39730.4,78000.0,0
32,i640-333_sft,1000000000.0,1000000000.0,0,3469.21,0.0,39499.2,39499.2,39499.2,80409.0,0
33,i640-334_sft,1000000000.0,1000000000.0,0,3515.66,0.0,39367.8,39367.8,39367.8,75264.0,0
34,i640-335_sft,1000000000.0,1000000000.0,0,3465.99,0.0,40147.4,40147.4,40147.4,76715.0,0
