,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i640-311_sft,1000000000.0,1000000000.0,0,2375.1916666666666,0.0,30961.100000000002,30970.4,30961.100000000002,44713.5,0
1,i640-312_sft,1000000000.0,1000000000.0,0,2368.596,0.0,30881.22,30901.8,30881.22,44861.0,0
2,i640-313_sft,1000000000.0,1000000000.0,0,2380.172,0.0,30755.639999999996,30763.6,30755.639999999996,45326.2,0
3,i640-314_sft,1000000000.0,1000000000.0,0,2381.108,0.0,30718.0,30729.6,30718.0,42532.4,0
4,i640-315_sft,1000000000.0,1000000000.0,0,2374.12,0.0,30580.0,30582.4,30580.0,40760.8,0
5,i640-331_sft,1000000000.0,1000000000.0,0,2335.006,0.0,39934.46,39998.4,39934.46,69759.8,0
6,i640-332_sft,1000000000.0,1000000000.0,0,2293.706,0.0,39583.119999999995,39651.1,39583.119999999995,72914.6,0
7,i640-333_sft,1000000000.0,1000000000.0,0,2350.506,0.0,39373.38,39378.1,39373.38,74858.4,0
8,i640-334_sft,1000000000.0,1000000000.0,0,2343.968,0.0,39150.64,39233.9,39150.64,67760.6,0
9,i640-335_sft,1000000000.0,1000000000.0,0,2351.746,0.0,39920.12,40026.5,39920.12,69870.8,0
