,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
22,i640-232_sft,18995.0,18995.0,1,3570.46,2021.0,11073.2,11387.6,11387.6,71711.0,0
23,i640-233_sft,20482.0,20482.0,1,3545.03,1180.0,11189.0,11330.0,11330.0,50956.0,0
24,i640-235_sft,20252.0,20252.0,1,3528.54,1690.0,11125.5,11248.6,11248.6,63184.0,0
25,i640-311_sft,1000000000.0,1000000000.0,0,1679.26,1672.0,24908.4,25053.9,25053.9,95857.0,0
26,i640-312_sft,1000000000.0,1000000000.0,0,2052.97,359.0,24676.8,24825.5,24825.5,30909.0,0
27,i640-313_sft,1000000000.0,1000000000.0,0,2353.09,723.0,24988.8,25137.8,25137.8,45760.0,0
28,i640-314_sft,1000000000.0,1000000000.0,0,2488.2,542.0,24629.6,24776.7,24776.7,36092.0,0
29,i640-315_sft,1000000000.0,1000000000.0,0,2095.66,380.0,24879.1,25023.9,25023.9,30250.0,0
30,i640-331_sft,1000000000.0,1000000000.0,0,3097.76,233.0,30479.2,30588.5,30588.5,17460.0,0
31,i640-332_sft,54825.0,54825.0,1,2774.15,2286.0,30261.0,30478.5,30478.5,136624.0,0
32,i640-333_sft,1000000000.0,1000000000.0,0,3051.8,555.0,30421.5,30619.2,30619.2,37850.0,0
33,i640-334_sft,55114.0,55114.0,1,2831.61,2140.0,30908.5,31157.0,31157.0,121756.0,0
34,i640-335_sft,54289.0,54289.0,1,2790.62,2676.0,30758.5,31224.5,31224.5,152107.0,0
