,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i640-311_sft,1000000000.0,1000000000.0,0,5554.0599999999995,0.0,31046.24,31081.2,31046.24,47335.0,0
1,i640-312_sft,1000000000.0,1000000000.0,0,5379.776,0.0,30951.3,30959.5,30951.3,47161.8,0
2,i640-313_sft,1000000000.0,1000000000.0,0,5496.084,0.0,30850.379999999997,30862.2,30850.379999999997,48685.2,0
3,i640-314_sft,1000000000.0,1000000000.0,0,5565.1375,0.0,30825.1,30828.8,30825.1,46243.5,0
