,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i080-305_sft,5643.0,5643.0,4,2.0403149999999997,36.25,5485.02,5643.0,5643.0,3099.75,0
1,i080-332_sft,5016.0,5016.0,5,8.804348000000001,131.6,4870.23,5016.0,5015.466,3722.6,0
2,i160-232_sft,6451.0,6451.0,5,593.6094,441.8,6227.642,6451.0,6450.832,13991.6,0
3,i160-332_sft,10633.0,10635.0,5,3579.9519999999998,507.6,10204.6,10401.0,10382.42,35091.6,0
4,i320-205_sft,1000000000.0,1000000000.0,0,3564.432,73.6,10117.6,10179.4,10176.38,44892.8,0
5,i320-231_sft,1000000000.0,1000000000.0,0,3562.386,3.6,9554.422,9587.31,9575.784,87805.2,0
6,i320-232_sft,1000000000.0,1000000000.0,0,3575.018,4.0,9217.98,9260.77,9260.77,68075.8,0
7,i320-305_sft,1000000000.0,1000000000.0,0,3483.44,56.6,22200.92,22304.8,22247.32,85489.8,0
8,i320-311_sft,1000000000.0,1000000000.0,0,3511.858,0.0,16105.3,16110.8,16105.3,34852.2,0
9,i320-312_sft,1000000000.0,1000000000.0,0,3492.638,0.0,15903.779999999999,15919.0,15903.779999999999,34770.6,0
10,i320-313_sft,1000000000.0,1000000000.0,0,3495.874,0.0,15950.26,15971.6,15950.26,35116.0,0
11,i320-314_sft,1000000000.0,1000000000.0,0,3526.922,0.0,15986.279999999999,15991.3,15986.279999999999,34392.2,0
12,i320-315_sft,1000000000.0,1000000000.0,0,3542.5860000000002,0.0,15949.76,15970.9,15949.76,34051.2,0
13,i320-331_sft,1000000000.0,1000000000.0,0,3439.814,10.6,21004.9,21074.0,21064.079999999998,83351.2,0
14,i320-332_sft,1000000000.0,1000000000.0,0,3455.058,2.2,20990.8,21020.3,21002.6,117007.4,0
15,i320-333_sft,1000000000.0,1000000000.0,0,3457.904,13.0,20579.1,20588.4,20588.4,110951.2,0
16,i320-335_sft,1000000000.0,1000000000.0,0,3458.406,7.6,20637.6,20675.3,20675.3,107077.2,0
17,i640-135_sft,1000000000.0,1000000000.0,0,3542.274,0.0,7273.99,7276.81,7273.99,41421.8,0
18,i640-201_sft,1000000000.0,1000000000.0,0,3388.172,0.0,15379.060000000001,15380.9,15379.060000000001,74893.2,0
19,i640-205_sft,1000000000.0,1000000000.0,0,3296.326,0.0,15890.9,15893.6,15890.9,82819.4,0
20,i640-214_sft,1000000000.0,1000000000.0,0,3507.06,0.0,9854.558,9854.7,9854.558,26064.4,0
21,i640-231_sft,1000000000.0,1000000000.0,0,3382.44,0.0,13591.3,13594.4,13591.3,55336.4,0
22,i640-232_sft,1000000000.0,1000000000.0,0,3357.9480000000003,0.0,13643.279999999999,13666.8,13643.279999999999,57753.2,0
23,i640-233_sft,1000000000.0,1000000000.0,0,3324.364,0.0,13928.039999999999,13930.2,13928.039999999999,59152.0,0
24,i640-235_sft,1000000000.0,1000000000.0,0,3411.53,0.0,13574.74,13592.0,13574.74,54462.4,0
25,i640-311_sft,1000000000.0,1000000000.0,0,2052.804,0.0,30885.440000000002,30913.5,30885.440000000002,42747.2,0
26,i640-312_sft,1000000000.0,1000000000.0,0,1945.2540000000001,0.0,30832.9,30832.9,30832.9,43548.0,0
27,i640-313_sft,1000000000.0,1000000000.0,0,2052.79,0.0,30663.4,30665.4,30663.4,42381.0,0
28,i640-314_sft,1000000000.0,1000000000.0,0,2043.8020000000001,0.0,30625.0,30670.9,30625.0,40092.4,0
29,i640-315_sft,1000000000.0,1000000000.0,0,1785.488,0.0,30515.620000000003,30528.1,30515.620000000003,39089.8,0
30,i640-331_sft,1000000000.0,1000000000.0,0,1622.732,0.0,39629.2,39629.2,39629.2,58889.0,0
31,i640-332_sft,1000000000.0,1000000000.0,0,2047.0520000000001,0.0,39449.14,39466.1,39449.14,68951.0,0
32,i640-333_sft,1000000000.0,1000000000.0,0,1808.5400000000002,0.0,39188.82,39208.2,39188.82,66781.6,0
33,i640-334_sft,1000000000.0,1000000000.0,0,1856.654,0.0,38823.340000000004,39025.4,38823.340000000004,59349.4,0
34,i640-335_sft,1000000000.0,1000000000.0,0,1689.03,0.0,39613.76,39676.3,39613.76,62003.8,0
