,Instance,Best Integer,Avg. Integer,Integer Found,Solver Avg. Time,Avg Opened Nodes,LP,Best Bound,Avg Bound,Avg Cuts,easy_instance
0,i640-311_sft,1000000000.0,1000000000.0,0,3841.256,0.0,30936.640000000003,30998.0,30936.640000000003,44045.2,0
1,i640-312_sft,1000000000.0,1000000000.0,0,3680.082,0.0,30916.9,30926.7,30916.9,45969.6,0
2,i640-313_sft,1000000000.0,1000000000.0,0,3795.916,0.0,30812.46,30832.9,30812.46,47209.6,0
3,i640-314_sft,1000000000.0,1000000000.0,0,3856.5440000000003,0.0,30777.74,30782.2,30777.74,44432.6,0
4,i640-315_sft,1000000000.0,1000000000.0,0,3578.048,0.0,30595.640000000003,30620.9,30595.640000000003,41227.0,0
5,i640-331_sft,1000000000.0,1000000000.0,0,3337.9125,0.0,40130.9,40130.9,40130.9,77960.0,0
